date,open_price,high_price,low_price,close_price,adjclose_price,volume,previous_close,price_movement,price_movement_tomorrow
2024-05-13,26.34,38.200001,24.77,30.450001,30.450001,176739034,17.459999,74.39864114539755,-3.053864519711281
2024-05-10,17.93,20.200001,16.879999,17.459999,17.459999,36807500,18.01,-3.053864519711281,13.128140703517598
2024-05-09,15.9,18.51,15.35,18.01,18.01,25759300,15.92,13.128140703517598,-2.3911650760984187
2024-05-08,16.049999,17.24,15.33,15.92,15.92,24775100,16.309999,-2.3911650760984187,0.0
2024-05-07,15.85,17.290001,14.93,16.309999,16.309999,24308600,16.309999,0.0,-0.971463325529043
2024-05-06,14.99,17.4,13.62,16.309999,16.309999,48018700,16.469999,-0.971463325529043,29.075227272727282
2024-05-03,12.42,17.450001,12.31,16.469999,16.469999,36292400,12.76,29.075227272727282,16.956920256645276
2024-05-02,11.11,12.88,10.96,12.76,12.76,8654800,10.91,16.956920256645276,-1.6230838593327297
2024-05-01,11.03,11.32,10.7,10.91,10.91,2653200,11.09,-1.6230838593327297,-1.7714791851195688
2024-04-30,11.18,11.3,10.91,11.09,11.09,2866500,11.29,-1.7714791851195688,-5.126050420168077
2024-04-29,11.84,11.96,11.18,11.29,11.29,3821500,11.9,-5.126050420168077,6.155218554861726
2024-04-26,11.18,12.19,11.0,11.9,11.9,7685100,11.21,6.155218554861726,2.561756633119864
2024-04-25,10.7,11.21,10.48,11.21,11.21,4903800,10.93,2.561756633119864,7.578740157480311
2024-04-24,10.16,10.94,10.16,10.93,10.93,4829600,10.16,7.578740157480311,1.4985014985015022
2024-04-23,10.05,10.28,10.01,10.16,10.16,2511800,10.01,1.4985014985015022,-3.934740882917468
2024-04-22,10.41,10.45,10.01,10.01,10.01,3261000,10.42,-3.934740882917468,1.0669253152279286
2024-04-19,10.2,10.5,10.2,10.42,10.42,2455100,10.31,1.0669253152279286,0.09708737864077463
2024-04-18,10.32,10.63,10.27,10.31,10.31,2175400,10.3,0.09708737864077463,-0.6750241080038429
2024-04-17,10.44,10.59,10.3,10.3,10.3,2096700,10.37,-0.6750241080038429,3.0815109343936253
2024-04-16,10.0,10.55,9.95,10.37,10.37,4162100,10.06,3.0815109343936253,-6.592386258124411
2024-04-15,10.81,10.84,10.06,10.06,10.06,5086300,10.77,-6.592386258124411,-4.605845881310891
2024-04-12,11.21,11.23,10.76,10.77,10.77,3196300,11.29,-4.605845881310891,4.055299539170503
2024-04-11,10.91,11.39,10.8,11.29,11.29,3802100,10.85,4.055299539170503,-1.4532243415077215
2024-04-10,10.9,11.07,10.75,10.85,10.85,3546200,11.01,-1.4532243415077215,1.662049861495842
2024-04-09,10.85,11.18,10.73,11.01,11.01,3514400,10.83,1.662049861495842,-3.733333333333333
2024-04-08,11.3,11.37,10.83,10.83,10.83,3659100,11.25,-3.733333333333333,-2.428447528187332
2024-04-05,11.3,11.5,10.97,11.25,11.25,4750800,11.53,-2.428447528187332,1.318101933216156
2024-04-04,11.5,11.83,11.38,11.53,11.53,4347000,11.38,1.318101933216156,0.8865248226950482
2024-04-03,11.22,11.5,10.9,11.38,11.38,4331500,11.28,0.8865248226950482,-5.921601334445378
2024-04-02,11.84,11.99,11.26,11.28,11.28,6327700,11.99,-5.921601334445378,-4.233226837060698
2024-04-01,12.63,12.67,11.55,11.99,11.99,9207100,12.52,-4.233226837060698,-4.935459377372819
2024-03-28,13.19,13.19,12.47,12.52,12.52,8473500,13.17,-4.935459377372819,-15.03225806451613
2024-03-27,13.05,13.72,12.8,13.17,13.17,17871300,15.5,-15.03225806451613,2.513227513227519
2024-03-26,15.15,15.63,14.75,15.5,15.5,17245800,15.12,2.513227513227519,15.419847328244272
2024-03-25,13.42,15.15,13.31,15.12,15.12,10416300,13.1,15.419847328244272,-4.099560761347002
2024-03-22,13.76,13.95,13.01,13.1,13.1,4400000,13.66,-4.099560761347002,1.3353115727002947
2024-03-21,13.56,14.02,13.48,13.66,13.66,3382800,13.48,1.3353115727002947,0.5219985085756919
2024-03-20,13.47,13.79,13.21,13.48,13.48,3921300,13.41,0.5219985085756919,-3.5945363048166783
2024-03-19,13.76,13.89,13.3,13.41,13.41,3894700,13.91,-3.5945363048166783,-2.3174157303370793
2024-03-18,14.25,14.3,13.9,13.91,13.91,3490800,14.24,-2.3174157303370793,-2.665755297334248
2024-03-15,14.55,14.83,14.21,14.24,14.24,4476500,14.63,-2.665755297334248,-1.6139878950907764
2024-03-14,14.8,15.02,14.4,14.63,14.63,2534200,14.87,-1.6139878950907764,1.019021739130425
2024-03-13,14.69,15.2,14.62,14.87,14.87,2898100,14.72,1.019021739130425,2.0097020097020164
2024-03-12,14.35,14.84,14.09,14.72,14.72,2382600,14.43,2.0097020097020164,-1.5017064846416426
2024-03-11,14.64,14.94,14.36,14.43,14.43,2111900,14.65,-1.5017064846416426,-3.9973787680209663
2024-03-08,15.4,15.63,14.52,14.65,14.65,3165700,15.26,-3.9973787680209663,0.0
2024-03-07,15.26,15.51,15.05,15.26,15.26,2111900,15.26,0.0,1.7333333333333318
2024-03-06,15.22,15.89,14.94,15.26,15.26,3818100,15.0,1.7333333333333318,-1.4454664914586113
2024-03-05,14.95,15.28,14.78,15.0,15.0,3152700,15.22,-1.4454664914586113,1.8060200668896413
2024-03-04,14.93,15.59,14.83,15.22,15.22,4367600,14.95,1.8060200668896413,4.765241765942535
2024-03-01,14.18,15.09,13.99,14.95,14.95,4890900,14.27,4.765241765942535,0.2106741573033663
2024-02-29,14.34,14.65,14.03,14.27,14.27,2638700,14.24,0.2106741573033663,0.2111189303307485
2024-02-28,14.0,14.47,13.89,14.24,14.24,2440700,14.21,0.2111189303307485,3.874269005847961
2024-02-27,13.7,14.29,13.68,14.21,14.21,2795500,13.68,3.874269005847961,1.2583271650629158
2024-02-26,13.31,13.75,13.2,13.68,13.68,2278600,13.51,1.2583271650629158,1.1227544910179668
2024-02-23,13.3,13.79,13.12,13.51,13.51,2319700,13.36,1.1227544910179668,-0.3728560775540694
2024-02-22,13.5,13.65,13.34,13.36,13.36,1817800,13.41,-0.3728560775540694,-0.5930318754633066
2024-02-21,13.46,13.67,13.23,13.41,13.41,1731300,13.49,-0.5930318754633066,-4.46175637393767
2024-02-20,13.96,14.05,13.16,13.49,13.49,3784500,14.12,-4.46175637393767,-2.687801516195731
2024-02-16,14.46,14.53,14.1,14.12,14.12,2297200,14.51,-2.687801516195731,0.6939625260235923
2024-02-15,14.54,14.75,14.23,14.51,14.51,2400500,14.41,0.6939625260235923,1.6937191249117869
2024-02-14,14.33,14.43,14.05,14.41,14.41,2504400,14.17,1.6937191249117869,-3.8017651052274304
2024-02-13,14.2,14.4,13.77,14.17,14.17,3788700,14.73,-3.8017651052274304,0.47748976807640026
2024-02-12,14.58,15.22,14.53,14.73,14.73,2750100,14.66,0.47748976807640026,2.160278745644603
2024-02-09,14.37,15.23,14.3,14.66,14.66,3575300,14.35,2.160278745644603,1.9900497512437765
2024-02-08,14.01,14.44,13.89,14.35,14.35,1838300,14.07,1.9900497512437765,-0.21276595744680396
2024-02-07,14.12,14.3,13.78,14.07,14.07,1947800,14.1,-0.21276595744680396,4.7548291233283715
2024-02-06,13.6,14.3,13.43,14.1,14.1,3047800,13.46,4.7548291233283715,-8.621860149355054
2024-02-05,14.5,14.61,13.4,13.46,13.46,4361500,14.73,-8.621860149355054,2.149791955617202
2024-02-02,14.15,14.92,14.08,14.73,14.73,2922600,14.42,2.149791955617202,1.3352073085031588
2024-02-01,14.34,14.42,14.02,14.42,14.42,2220200,14.23,1.3352073085031588,-2.1993127147766343
2024-01-31,14.4,14.83,14.22,14.23,14.23,2684700,14.55,-2.1993127147766343,-1.5561569688768515
2024-01-30,14.54,14.82,14.51,14.55,14.55,1652600,14.78,-1.5561569688768515,2.0013802622498216
2024-01-29,14.5,14.81,14.32,14.78,14.78,2164200,14.49,2.0013802622498216,-0.20661157024792948
2024-01-26,14.44,14.72,14.41,14.49,14.49,2288800,14.52,-0.20661157024792948,4.086021505376347
2024-01-25,13.97,14.54,13.92,14.52,14.52,3635900,13.95,4.086021505376347,-1.6220028208744741
2024-01-24,14.28,14.38,13.82,13.95,13.95,2513800,14.18,-1.6220028208744741,-4.832214765100675
2024-01-23,15.0,15.02,14.05,14.18,14.18,3495300,14.9,-4.832214765100675,2.687801516195731
2024-01-22,14.5,15.16,14.3,14.9,14.9,3606500,14.51,2.687801516195731,1.539538138558437
2024-01-19,14.36,14.6,14.09,14.51,14.51,2391500,14.29,1.539538138558437,1.4914772727272663
2024-01-18,14.2,14.77,14.05,14.29,14.29,3906000,14.08,1.4914772727272663,0.7153075822603694
2024-01-17,13.86,14.11,13.71,14.08,14.08,2706200,13.98,0.7153075822603694,-5.220338983050844
2024-01-16,14.6,14.62,13.93,13.98,13.98,3581200,14.75,-5.220338983050844,-3.278688524590164
2024-01-12,15.3,15.62,14.73,14.75,14.75,2475500,15.25,-3.278688524590164,-3.0514939605848723
2024-01-11,15.65,15.8,15.24,15.25,15.25,2992200,15.73,-3.0514939605848723,3.759894459102904
2024-01-10,15.12,15.76,14.97,15.73,15.73,3191700,15.16,3.759894459102904,-3.9898670044331794
2024-01-09,15.59,15.62,15.12,15.16,15.16,3105300,15.79,-3.9898670044331794,-1.0651629072681812
2024-01-08,15.78,16.120001,15.7,15.79,15.79,3031100,15.96,-1.0651629072681812,-2.444993738081065
2024-01-05,16.16,16.52,15.96,15.96,15.96,2615700,16.360001,-2.444993738081065,-1.9772317569064155
2024-01-04,16.51,16.75,16.309999,16.360001,16.360001,2671500,16.690001,-1.9772317569064155,0.11998200359926244
2024-01-03,16.299999,16.83,15.9,16.690001,16.690001,4193600,16.67,0.11998200359926244,-4.905881066407224
2024-01-02,17.25,17.6,16.58,16.67,16.67,4428000,17.530001,-4.905881066407224,-2.9883729939125714
2023-12-29,18.040001,18.16,17.459999,17.530001,17.530001,4524200,18.07,-2.9883729939125714,-1.6331027962382703
2023-12-28,18.049999,18.32,17.85,18.07,18.07,3574800,18.370001,-1.6331027962382703,5.817972015093766
2023-12-27,17.43,18.370001,17.370001,18.370001,18.370001,4800100,17.360001,5.817972015093766,2.2981851678364804
2023-12-26,16.98,17.41,16.82,17.360001,17.360001,3079600,16.969999,2.2981851678364804,-0.05889870435806265
2023-12-22,16.780001,17.200001,16.450001,16.969999,16.969999,3325100,16.98,-0.05889870435806265,0.29533372711164035
2023-12-21,17.190001,17.34,16.59,16.98,16.98,3975300,16.93,0.29533372711164035,-4.458233885904856
2023-12-20,17.530001,18.379999,16.889999,16.93,16.93,5553000,17.719999,-4.458233885904856,-0.7838857343848921
2023-12-19,17.889999,18.59,17.23,17.719999,17.719999,5447100,17.860001,-0.7838857343848921,3.476251448435683
2023-12-18,17.24,18.51,17.1,17.860001,17.860001,7352200,17.26,3.476251448435683,-1.0321157665071075
2023-12-15,17.4,17.58,17.01,17.26,17.26,7110100,17.440001,-1.0321157665071075,4.493708538423695
2023-12-14,17.139999,17.879999,16.799999,17.440001,17.440001,10750700,16.690001,4.493708538423695,9.658350854139277
2023-12-13,15.22,16.799999,15.19,16.690001,16.690001,9086900,15.22,9.658350854139277,0.9953550099535524
2023-12-12,15.12,15.36,14.84,15.22,15.22,4210700,15.07,0.9953550099535524,-3.086816720257237
2023-12-11,15.45,15.69,14.98,15.07,15.07,4961200,15.55,-3.086816720257237,-4.951106054333369
2023-12-08,15.83,16.48,15.47,15.55,15.55,10375400,16.360001,-4.951106054333369,10.242594339622645
2023-12-07,13.71,16.52,13.56,16.360001,16.360001,19840700,14.84,10.242594339622645,-0.46948356807511926
2023-12-06,15.36,15.7,14.64,14.84,14.84,12691300,14.91,-0.46948356807511926,-12.190812720848058
2023-12-05,16.469999,16.719999,14.87,14.91,14.91,14220100,16.98,-12.190812720848058,10.980392156862742
2023-12-04,15.29,17.41,14.91,16.98,16.98,20098700,15.3,10.980392156862742,5.154639175257731
2023-12-01,14.52,15.99,14.5,15.3,15.3,13347300,14.55,5.154639175257731,-10.461538461538456
2023-11-30,16.290001,16.33,14.32,14.55,14.55,16537200,16.25,-10.461538461538456,20.45959970348406
2023-11-29,15.49,17.559999,14.7,16.25,16.25,61172800,13.49,20.45959970348406,13.266162888329136
2023-11-28,11.9,13.55,11.89,13.49,13.49,14192900,11.91,13.266162888329136,-2.377049180327862
2023-11-27,12.18,12.33,11.89,11.91,11.91,3710600,12.2,-2.377049180327862,-0.7323026851098443
2023-11-24,12.22,12.41,12.18,12.2,12.2,1232500,12.29,-0.7323026851098443,-2.071713147410371
2023-11-22,12.56,12.71,12.19,12.29,12.29,2358800,12.55,-2.071713147410371,-1.953125
2023-11-21,12.65,12.72,12.26,12.55,12.55,3710100,12.8,-1.953125,-1.7651573292402047
2023-11-20,13.0,13.2,12.8,12.8,12.8,2294900,13.03,-1.7651573292402047,3.9904229848363926
2023-11-17,12.52,13.06,12.52,13.03,13.03,3414200,12.53,3.9904229848363926,-5.576488319517711
